აღებაც	აღებ აც
სცნობს	სცნობ ს
ყირიმსა	ყირიმ ს ა
ლიტვის	ლიტვ ის
მუხლს	მუხლ ს
განწყობის	განწყობ ის
ენების	ენ ების
ეჯახება	ეჯახ ება
ნათიას	ნა თ ი ას
ეძინა	ეძინ ა
დამოუკიდებლობას	და მო უკიდებ ლობ ას
ფრიდა	ფრი და
ველებიტი	ველებიტ ი
მაწანწალა	მა წანწალ ა
დედოფლისწყაროს	დედოფლ ის წყაროს
მოხატვის	მო ხატვ ის
გიმნაზიის	გიმნაზი ის
ფრანგების	ფრანგ ების
ცამეტი	ცამეტ ი
ქვეყნდებოდა	ქვეყნ დებოდა
საკურსო	სა კურს ო
ქვებად	ქვ ება დ
სჯეროდათ	სჯერ ო დათ
ესტონური	ესტონ ური
ყვითელი	ყვითელ ი
პოზიციაზეც	პოზიცი ა ზე ც
წყალდიდობამ	წყალდიდობ ამ
აკმაყოფილებენ	ა კმაყოფილ ებენ
ლოიდი	ლოიდ ი
ციხედ	ციხ ე დ
გველესიანი	გველეს იანი
მუსლიმანთა	მუსლიმან თა
შეჭრა	შე ჭრ ა
მოწყობილობას	მო წყობილობ ას
მაღალმთიანი	მა ღალ მთიან ი
პარკეტზე	პარკეტ ზე
შემოაქვს	შე მო აქვ ს
რეზერფორდი	რეზერფორდ ი
არაკანონიერი	არა კანონიერ ი
სახეებზე	სახე ებზე
უზრუნველყოფენ	უზრუნველყოფ ენ
დაკმაყოფილდა	და კმაყოფილ და
ჩაკ	ჩაკ
კონსტიტუცია	კონსტიტუცი ა
მამაკაცისთვის	მა მაკაც ისთვის
ლიას	ლ ი ას
საზავო	სა ზავ ო
ჩაირიცხა	ჩა ირიცხ ა
სიგნალები	სიგნალ ები
კირქვით	კირქვ ით
ბაბილონეთის	ბაბილონ ეთ ის
ორბელიანების	ორბელიან ების
არქეოლოგიურმა	არქეოლოგიურ მა
გაფორმება	გაფორმ ება
ზედაპირიდან	ზედაპირ იდან
პერიოდმა	პერიოდ მა
სელის	სელ ის
გადაარჩინოს	გა და არჩინ ო ს
ინსტრუმენტულია	ინსტრუმენტ ული ა
ჩამოსხმული	ჩამო სხმ ული
აბრაამმა	აბრაამ მა
ჩანაწერების	ჩანაწერ ების
მარში	მარ ში
გასაღები	გა საღებ ი
ქულიანი	ქულ იანი
სიმძიმეს	სიმძიმ ეს
ატლანტისის	ატლანტ ის ის
მკითხველებმა	მკითხველ ებ მა
მოწაფედ	მოწაფ ე დ
ევროპელები	ევროპელ ები
შტაბი	შტაბ ი
ვის	ვ ის
ჯარები	ჯარ ები
უსამართლობის	უ სა მართლ ობ ის
თემატიკის	თემატიკ ის
კიდურის	კიდურ ის
შეძლებდნენ	შეძლ ებდნენ
იცის	იც ის
მღვდლის	მღვდლ ის
განაპირობებდა	გა ნა პირობ ებ და
პროდუქციაზე	პროდუქცი ა ზე
შოუებში	შოუ ებ ში
ხატში	ხატ ში
ვარიანტებში	ვარიანტ ებ ში
ტიპს	ტიპ ს
სივრცე	სივრცე
გერმანელი	გერმანელ ი
ვითარცა	ვითარ ცა
კენჭისყრით	კენჭისყრ ით
რთულია	რთულ ია
სერვეტი	სერვ ეტ ი
ბარძაყის	ბარძაყ ის
გადავიღეთ	გა და ვიღეთ
განწყობილებას	განწყობილ ება ს
ერთსადაიმავე	ერთ სა და იმავე
ევროკავშირი	ევროკავშირ ი
რაიონული	რაიონ ული
იტაცებს	იტაც ებს
დაბმული	და ბმულ ი
ნივთიერება	ნივთიერ ება
დეპარტამენტსა	დეპარტამენტ ს ა
კუსა	კუს ა
დაიგო	და იგ ო
გაყრის	გა ყრ ის
არახელსაყრელი	არა ხელსაყრელ ი
ტერიტორიულად	ტერიტორი ულ ად
გარბო	გარბო
ქუჩაზე	ქუჩ ა ზე
ვაკეზე	ვაკე ზე
ფუნქციონალური	ფუნქციონ ალ ური
ზიანს	ზიან ს
ენაში	ენ ა ში
წყვილი	წყვილ ი
მოკლემეტრაჟიან	მოკლემეტრ აჟ იან
მოკლულის	მოკლულ ი ს
პრეზიდენტთან	პრეზიდენტ თან
დატოვოს	დატოვ ო ს
შემსრულებელ	შე მსრულებელ
ძაფით	ძაფ ით
მოუხდა	მო უხდ ა
კბენა	კბენ ა
დარიალის	დარიალ ის
ლა	ლა
თორგერსონი	თორგერ სონ ი
ნეირონები	ნეირონ ები
ძვლით	ძვლ ით
ჟარის	ჟარ ის
ალფონსოს	ალფონს ო ს
არანაკლებ	არა ნაკლებ
კარაკასის	კარა კას ის
ლექსებიც	ლექს ები ც
ფსიქოლოგიური	ფსიქოლოგი ური
წელიწადში	წელიწად ში
ხატმებრძოლეობა	ხატ მებრძოლ ეობ ა
გიუნაშვილის	გიუნაშვილ ის
ფეხები	ფეხ ები
გამოიჩინა	გა მო იჩინ ა
რეგულირება	რეგულირ ება
ტომებში	ტომ ებ ში
გაექცნენ	გა ექც ნენ
ჩხეიძის	ჩხეიძ ის
არქიტრავის	ა რქიტრავ ის
მაგიის	მაგი ის
შესწავლილი	შესწავლ ილი
სმითმა	სმით მა
ელფერი	ელფერ ი
დირექტივები	დი რექტივ ები
არაგუის	არა გუ ის
კუთხესთან	კუთხე სთან
მოეძებნა	მო ე ძებნ ა
ტუალეტები	ტუალეტ ები
ფუნქციები	ფუნქცი ები
ეკლესიათა	ეკლესი ა თ ა
რომაელ	რომაელ
კულისებში	კულის ებ ში
მატერიკული	მატერიკ ული
ფასადთა	ფასად თა
გადახურულ	გადახურ ულ
შრის	შრ ის
რუსეთში	რუსეთ ში
გელა	გელ ა
სიღრმეებში	სიღრმ ე ებ ში
ხოსეპ	ხოსე პ
კრიზისს	კრიზის ს
საძირეზე	სა ძირ ე ზე
ტურინელებმა	ტურინ ელებმა
იტბორება	იტბორ ება
ბინადრობს	ბინადრ ობს
სიმაღლიდან	სიმაღლ იდან
კადრში	კადრ ში
მოიპოვებენ	მო იპოვ ებენ
ფართე	ფართ ე
ნოე	ნოე
ფუფუნება	ფუფუნ ება
განთავისუფლების	განთავისუფლ ების
სოფელია	სოფელ ია
სიღარიბეში	სი ღარიბ ე ში
სტიქიის	სტიქი ის
გამომგონებელი	გამო მ გონებ ელი
ყირიმი	ყირიმ ი
უძრავია	უძრავ ია
მიყვანილი	მი ყვანილ ი
სვეტში	სვეტ ში
სამეფოები	სა მეფო ები
დევნისა	დევნ ისა
განედებზე	განედ ებზე
დანგრევა	და ნგრევ ა
პაპ	პაპ
ემინემი	ემინემ ი
ვსვამ	ვ სვამ
შესაძლებლობები	შე საძლებლობ ები
თეატრალიზებული	თეატრალ ი ზე ბ ული
გოგოები	გოგო ები
ნგრევა	ნგრევ ა
უწყვეტ	უწყვეტ
ცნობად	ცნობ ად
დასდო	და სდ ო
ცაზე	ცა ზე
ფეროშენადნობთა	ფერო შენადნობ თა
მუსონების	მუსონ ების
ხვნის	ხვნ ის
ეთნოგრაფიული	ეთნოგრაფი ული
მიწებისა	მიწ ების ა
ანდრე	ანდრე
სიმაღლეც	სიმაღლე ც
სახელწოდებითაა	სა ხელწოდებ ით ა ა
დიალოგი	დიალოგ ი
სტადიები	სტადი ები
საიდუმლოდ	სა იდუმლო დ
მეტია	მეტ ია
გლეხურ	გლეხ ურ
ლოგიკურ	ლოგიკ ურ
კამერები	კამერ ები
ნეიტანს	ნეიტან ს
შუაგულში	შუაგულ ში
გული	გ ული
თუმანიანის	თუმან იან ის
უმუშავია	უ მუშავ ია
შეუშლის	შე უშლი ს
ოთახების	ოთახ ების
განმარტებული	განმარტ ებულ ი
ალესანდრო	ალესანდრ ო
აქტუალური	აქტუალურ ი
განრისხება	განრისხ ება
ილოცა	ილოც ა
იცოდეს	იცოდ ეს
ნაწილი	ნაწილ ი
ნიშანია	ნიშან ი ა
რედაქტირებული	რედაქტირებ ული
წინასწარმეტყველს	წინასწარმეტყველ ს
მიხეილი	მი ხეილ ი
სატყეო	სა ტყე ო
ელემენტებისა	ელემენტ ების ა
ზოოპარკი	ზოოპარკ ი
ხეოფსის	ხეოფს ის
აბანო	აბანო
ყრილობის	ყრილობ ის
ამხედრებული	ა მხედრ ებულ ი
გამოფინა	გამო ფინ ა
ილუზია	ილუზი ა
მხარის	მხარ ის
ჰოკაიდოზე	ჰოკაიდ ოზე
ბოლესლავის	ბოლესლავ ის
ხანამდე	ხან ა მდე
დასმა	დასმ ა
მაცივარ	მა ცივ არ
დადიანმა	და დიან მა
იმიგრანტების	იმიგრანტ ების
მტკვარსა	მტკვარ ს ა
მიერთებულ	მი ერთ ებულ
კონგოში	კონგო ში
არაბულად	არაბულ ად
დაიჭიროს	დაიჭირ ო ს
სლიზერინის	სლიზერინ ის
სომხეთმა	სომხეთ მა
თბილისმა	თბილის მა
მარბიელი	მა რბიელ ი
სხეულთან	სხეულ თან
ისლანდიას	ისლანდი ას
გაჩენილ	გა ჩენილ
ოსკარით	ოსკარ ით
აქტივისტების	აქტივისტ ების
გებრიელის	გებრიელ ის
დახურეს	დახურ ეს
მადრიდმა	მადრიდ მა
ფრიზი	ფრიზ ი
ბიზნესს	ბიზნეს ს
მოდელია	მოდელ ი ა
პოვნა	პოვნ ა
რგოლოვანი	რგოლ ოვან ი
ტრაქტის	ტრაქტ ის
თარგმნილი	თარგმნ ილი
რაიონებში	რაიონ ებ ში
აგების	აგ ების
ამოკვეთა	ა მო კვეთ ა
ბერკლის	ბერკლ ის
მეცადინეობით	მეცადინეობ ით
ნევის	ნევ ის
რონალდოს	რონალდ ო ს
სასის	სა ს ის
ყინული	ყინულ ი
ვუ	ვუ
მხარეებზე	მხარე ებზე
იმერეთს	იმერეთ ს
ზიდანი	ზიდან ი
აღწერაზე	აღწერ ა ზე
ქუდები	ქუდ ები
აქცენტს	აქცენტ ს
განსხვავებებიც	განსხვავებ ები ც
შტატის	შტატ ის
ანტონიუსს	ანტონიუს ს
ყრის	ყრ ის
მწვადების	მ წვად ების
სერია	სერი ა
ბატონი	ბატონ ი
ლიმონის	ლიმ ონის
საჭმელად	სა ჭმელ ად
მოწაფეების	მოწაფ ე ების
გამოეყვანა	გამო ეყვან ა
ფორდი	ფორდ ი
ანტიოქე	ანტი ოქ ე
ფესტივალში	ფესტივალ ში
ჰექტარ	ჰექტარ
მწვერვალისგან	მწვერვალ ის გან
ნაგატოს	ნაგატო ს
რეალობის	რეალ ობ ის
შრეზე	შრე ზე
კართაგენული	კართაგენ ული
საუდი	სა უდ ი
დიეგოს	დიეგ ო ს
ხორვატიისა	ხორვატ ი ისა
საგრძნობლად	სა გრძნობ ლად
სიამოვნებას	სიამოვნ ება ს
გუნდთან	გუნდ თან
დებიუტანტი	დებიუტ ანტი
შუალედური	შუალედ ური
განაპირობებს	გა ნა პირობ ებს
ისლამური	ისლამ ური
მთავართა	მთავარ თა
ქალური	ქალ ური
რეგიონები	რეგიონ ები
მოიწადინა	მო ი წად ინ ა
სამგზის	სამ გზ ის
დაბლობ	დაბლობ
ბუჩქნარით	ბუჩქნარ ით
გმირობას	გმირობ ას
გერმუხის	გერმუხ ის
წინამძღვარი	წინა მ ძღვარ ი
ჯონს	ჯონს
აკადემიას	აკადემი ას
ბუჩქებს	ბუჩქ ებს
ხაზინაში	ხაზინ ა ში
ჭიაურელის	ჭიაურელი ს
აღზრდას	აღზრდ ა ს
წინამდებარე	წინა მდებარ ე
უელსის	უელს ის
კოლონების	კოლონ ების
დაბის	დაბ ის
დებიუტიდან	დებიუტ იდან
თავაზობს	თავაზ ობს
კომპიუტერებზე	კომპიუტერ ებზე
პოპულარულები	პოპულარულ ები
გარდაიქმნა	გა რდაიქმნ ა
აკადემიკოსმა	აკადემიკოს მა
ჰოუქსმა	ჰოუქს მა
ტურისტთა	ტურისტ თა
მავნებელია	მავნ ებელი ა
მამით	მამ ით
ბრძოლად	ბრძოლ ად
ნიქსმა	ნიქს მა
არაბულს	არაბულ ს
შტატმა	შტატ მა
ბეჭედს	ბეჭედ ს
სანტიმეტრს	სა ნტიმეტრ ს
მანუჩარი	მა ნუჩარ ი
ფრანკის	ფრანკ ის
ფაილის	ფაილ ის
ულამაზეს	ულამაზეს
დუბაის	დუბაი ს
წვლილისათვის	წვლილ ისა თვის
სოფლებს	სოფლ ებს
ჩაკეტეს	ჩაკეტ ეს
ვლ	ვლ
შემდე	შე მდე
წარმომავლობისა	წარმო მა ვლობ ისა
ნაწილდებოდა	ნაწილ დებოდა
სომალელი	სომალ ელი
ჰიჩკოკის	ჰიჩკოკ ის
კომიტეტები	კომიტეტ ები
ალფრედ	ალფრედ
კორუმპირებული	კორუმპირ ებულ ი
ვალენსიაში	ვალენს ი აში
მოსახლეზე	მოსახლ ე ზე
მთიელთა	მთიელ თა
გადარეცხვა	გა და რეცხვ ა
განმტკიცება	განმტკიც ება
ქუდის	ქუდ ის
მესამედ	მესამ ე დ
დათვზე	დათვ ზე
თარგმანში	თარგმან ში
საცავს	საცავ ს
მოუღწევია	მო უ ღწევ ი ა
უყვებოდა	უყვ ებ ო და
იბრძოდა	იბრძო და
თვალებში	თვალ ებ ში
დაძლია	და ძლ ია
დიალოგები	დიალოგ ები
უნებართვოდ	უ ნებართვ ოდ
მონაკვეთით	მო ნაკვეთ ით
რადონი	რადონ ი
ავტოკატასტროფაში	ავტო კატასტროფ ა ში
ციმბირი	ციმბირ ი
გადაჰყავდა	გა და ჰყავ და
გაიფანტნენ	გა იფანტ ნენ
ცენტრ	ცენტრ
ექსპრესიული	ექსპრეს ი ული
მიიჩნევდა	მი იჩნევ და
სათავეშიც	სათავე ში ც
მაკედონელები	მაკედონ ელ ები
პლანტაციები	პლანტაცი ები
მეფეთა	მეფე თა
ნასტასია	ნასტასი ა
მონაგარი	მო ნა გ არი
მიხვდა	მი ხვდ ა
პიერომ	პიერ ომ
ტიგრანაკერტის	ტიგრან ა კერტ ის
ტოტს	ტოტ ს
არაგონი	არაგონ ი
უწოდებს	უწოდ ებს
სჯულის	სჯულ ის
ციმბირისა	ციმბირ ისა
უკანონოდ	უ კანონ ოდ
დეპორტაცია	დეპორტ ა ცი ა
შეთქმულთა	შეთქმულ თა
ნარეკვავის	ნარეკვავ ის
იდგმებოდა	იდგმ ებ ო და
დაეცვათ	და ეცვ ათ
დაშლის	დაშლ ის
ლუარსაბის	ლუარსაბ ის
გადაკეთება	გადაკეთებ ა
ბერძნულში	ბერძნულ ში
მამასახლისი	მა მა სახლის ი
დრამატურგი	დრამატურგი
მძიმე	მძიმ ე
მიზანს	მიზან ს
მრავალგვარი	მ რავალ გვარ ი
აწმყო	აწმყ ო
თანაგუნდელებთან	თანაგუნდელ ებთან
ბაროუს	ბარო უს
კლიმატია	კლიმატ ი ა
არანჟირებული	არანჟირებ ული
პატიოსან	პატიოსან
ქობაირის	ქობ აირ ის
ცოდვებს	ცოდვ ებს
სასკეს	სა სკ ეს
განავითარონ	განავითარ ონ
დაამყარა	და ამყარ ა
თვითმმართველ	თვითმმართველ
ზაფხული	ზაფხულ ი
კურაპალატის	კურაპალატ ის
ტიმოთე	ტიმოთ ე
ქლორიდის	ქლორიდ ის
აბსტრაქციის	აბსტრაქც ი ის
ჟღერადობის	ჟღერადობ ის
ლიკას	ლიკ ა ს
არეს	არ ეს
გუბერნატორი	გუბერნატორ ი
დედაქალაქთან	დედაქალაქ თან
რიგებს	რიგ ებს
ლაურეატის	ლაურეატ ის
მეოთხეული	მეოთხე ული
გადასასვლელად	გა და სასვლელ ად
არეალს	არეალ ს
იასონი	იასონ ი
დაზიანებულ	და ზიან ებულ
შემოქმედებითი	შემოქმედ ები თი
ჰორიზონტი	ჰორიზონტ ი
ციხეში	ციხე ში
უბნებში	უბნ ებ ში
ინგლისი	ინგლის ი
გადაადგილდა	გადაადგილდ ა
ოლქებში	ოლქ ებ ში
სადამდე	სად ა მდე
დარტყმა	და რტყმ ა
ლორდ	ლორდ
მოზრდილი	მო ზრდ ილი
ჰარვი	ჰარვ ი
მხატვარმა	მხატვარ მა
აისახება	ა ისახ ება
რელიგიები	რელიგი ები
სარდური	სარდ ური
ზედმეტსახელად	ზედ მეტსახელ ად
ფრაზების	ფრაზ ების
ამოწევა	ა მო წევ ა
გადარჩენას	გა დარჩენ ას
აღთქმით	აღთქმ ით
იშოვა	იშოვ ა
ფსიქიკა	ფსიქიკ ა
ავტორი	ავტორ ი
ათწლეული	ა თწლეულ ი
ნეაპოლი	ნეაპოლ ი
აეროპორტი	ა ეროპორტ ი
განიხილებოდა	გა ნიხილ ებ ო და
უფლებებით	უფლებ ები თ
სიუხვეს	სიუხვ ეს
იაფი	იაფ ი
ნაოხარი	ნა ოხ არი
პალეოგეოგრაფიის	პალეოგეოგრაფი ის
ძმებიც	ძმ ები ც
ვირთხები	ვირთხ ები
აკითხავენ	აკითხ ა ვენ
ვექტორი	ვექტორ ი
მაღალჩინოსანი	მა ღალ ჩინ ოსანი
ურთიერთობაა	ურთიერთობ ა ა
შემაღლებული	შე მაღლ ებულ ი
ჭავჭავაძის	ჭავჭავაძ ის
მასუდ	მა სუდ
ეტყოდა	ეტყო და
ბუშტები	ბუშტ ები
შესყიდვის	შესყიდვ ის
ვილაში	ვილ აში
რეფორმირების	რეფორმ ირ ების
კლუბთან	კლუბ თან
დართო	დართ ო
სააგენტომ	სა აგენტ ომ
უძლური	უძლურ ი
მაკვანეთში	მ აკვან ეთ ში
ხანების	ხან ების
არავისთვის	არავ ისთვის
კეპლერი	კეპლერ ი
ღამურას	ღამურ ა ს
საძოვრად	საძოვრ ად
აჩვენებენ	აჩვენებ ენ
უღლების	უღლ ების
მელოდიებით	მელოდი ები თ
რაზმში	რაზმ ში
არამეული	არამე ული
სტილში	სტილ ში
მაიაკოვსკი	მა იაკოვსკ ი
ამოიღო	ა მო იღ ო
აგებისას	აგ ების ას
ქათამი	ქათამ ი
მარყუჟი	მარყუჟ ი
მოეთხოვათ	მო ეთხოვ ათ
ისრისპირები	ისრ ისპირ ები
გრანიტული	გრანიტ ული
ეკუთვნის	ეკუთვნ ის
ხელმისაწვდომობის	ხელ მი სა წვდომ ობ ის
კანდიდატთა	კანდიდატ თა
ზარები	ზარ ები
გაითვალისწინა	გა ი თვალისწინ ა
დასაწყისში	და სა წყის ში
მეტალური	მეტალ ური
მოხსენიებულნი	მოხსენიებ ულნი
ორდოვიციული	ორდოვიც ი ული
რეისს	რეის ს
მანჩინის	მანჩინ ის
გეომეტრიულ	გეომეტრი ულ
საჭმლის	სა ჭმლ ის
ბურუსითაა	ბურუს ით ა ა
ძილის	ძილ ის
გათხრა	გათხრ ა
ჩეხოვის	ჩეხ ოვ ის
სამხრეთისაკენ	სამხრეთ ისაკენ
დალექვის	და ლექვ ის
ქიმიის	ქიმი ი ს
წვისას	წვ ის ას
დისკი	დისკ ი
მოთმინება	მოთმინ ება
შთაგონებულია	შთაგონებ ული ა
შეეძლებათ	შეეძლ ებათ
ისევ	ისევ
ბალახოვან	ბალახ ოვან
რწმენები	რწმენ ები
თემო	თემ ო
ჩამოყალიბებაში	ჩამოყალიბებ ა ში
მადონას	მადონ ას
ყურანი	ყურან ი
შტატებთან	შტატ ებთან
სესხების	სესხ ების
ვარიაციების	ვარიაცი ების
ღვთაება	ღვთაებ ა
ერთობლივმა	ერთობლივ მა
ბიოგრაფიების	ბიოგრაფი ების
ატლეტიკო	ატლეტიკო
დრამებში	დრამ ებ ში
დასახულ	და სახ ულ
ერთერთ	ერთერთ
პროკურორი	პროკურორ ი
იაპ	იაპ
ლეონში	ლეონ ში
სამყაროსა	სა მყაროს ა
ტენიანობის	ტენიან ობ ის
თავდაცვა	თავდაცვ ა
გაერთიანებას	გა ერთიანებ ას
კარზე	კარ ზე
მანძილზე	მანძილ ზე
არყოფნის	არყოფნ ის
კუთხეებით	კუთხე ები თ
ფოსტის	ფოსტ ის
ფარია	ფარ ია
რეალობაში	რეალ ობ აში
შიიტები	შიიტ ები
აღიარა	აღიარ ა
თვითშეფასების	თვით შეფას ების
რაფიელ	რაფი ელ
ანბანური	ანბან ური
ქართლისა	ქართლ ისა
კრიშტიანუ	კრიშტიან უ
ესპანელი	ესპანელ ი
თხის	თხ ის
ანთებას	ანთ ება ს
დაისადგურა	და ი სადგურ ა
მთავარანგელოზის	მთავარანგელოზ ის
გაუშვია	გა უშვ ი ა
მიზნების	მიზნ ების
პორტრეტებს	პორტრეტ ებს
საკურფიურსტო	სა კურფიურსტ ო
რეგულაცია	რეგულაცი ა
ბაგრატის	ბაგრატ ის
თევზები	თევზ ები
ამასიაში	ამას ი აში
რადიოაქტიურ	რადიო აქტიურ
ჩჟუ	ჩჟ უ
მწყობრიდან	მწყობრ იდან
რელიეფები	რელიეფ ები
ჰერშელმა	ჰერშელ მა
გეოპოლიტიკური	გეოპოლიტიკ ური
თემურლენგი	თემურლენგ ი
გოგონაა	გოგონ ა ა
განიცდიდნენ	განიცდ იდნენ
წყვდიადის	წყვდიად ის
გოგირდი	გოგირდ ი
დირექტორად	დირექტორ ად
ოთხსაფეხურიანი	ოთხ სა ფეხურ იანი
რელიგიით	რელიგი ით
სასწავლო	სასწავლ ო
გამოსაცდელი	გა მო საცდელ ი
რწყილი	რწყ ილი
საგალობლების	სა გალობლ ების
ცეკვებით	ცეკვ ები თ
დამარცხებულმა	დამარცხ ებულ მა
გეოგრაფიულად	გეოგრაფი ულ ად
ფუნქციაც	ფუნქცი აც
თექვსმეტი	თექვსმეტ ი
მებრძოლს	მებრძოლ ს
იმის	იმის
მსოფლიოსათვის	მსოფლიო სათვ ის
ივსებოდა	ივს ებ ო და
აღმოაჩენს	აღმოაჩენ ს
საშუალებად	საშუალ ება დ
კამერაში	კამერ ა ში
გერმანულ	გერმანულ
მოძრაობებით	მოძრაობ ები თ
შორდებოდა	შორ დებოდა
დაბადებიდანვე	დაბადებ იდან ვე
სახელმწიფოებრიობა	სა ხელმწიფოე ბრიობ ა
უცვლის	უცვლ ის
ჩუქება	ჩუქ ება
ენათმეცნიერი	ენათმეცნიერ ი
დაადგა	და ადგ ა
ქვეით	ქვეით
ისეთივე	ისეთივე
დიალოგს	დიალოგ ს
გამოხმაურება	გამო ხმაურ ება
ნიმუშზე	ნიმუშ ზე
სურათისთვის	სურათ ისთვის
ლინუქსის	ლინუქს ის
დარჩენილი	და რჩენილ ი
გაამახვილა	გა ა მახვილ ა
დარბაზს	დარბაზ ს
მაღლდება	მაღლ დებ ა
თანმიმდევრობა	თანმიმდევრობ ა
უჯარმაში	უჯარმ ა ში
ჰიტლერთან	ჰიტლერ თან
მითვისების	მი თვისებ ის
ფილოგენეზური	ფილოგენეზ ური
ქვიშაქვებით	ქვიშაქვ ები თ
დარგი	დარგ ი
გამხმარ	გამხმარ
სახლსა	სახლ ს ა
წარჩინებულ	წარჩინებულ
მკვრივ	მკვრივ
განიხილებოდნენ	გა ნიხილ ე ბოდნენ
დახატული	და ხატ ული
თაყაიშვილი	თაყაიშვილ ი
სნუკერში	სნუკერ ში
ქსელს	ქსელ ს
მგზნებარე	მ გზნებ ა რ ე
ქვაბი	ქვაბ ი
კანტონებად	კანტონ ება დ
კავშირში	კავშირ ში
სახეშეცვლილი	სახე შეცვლილ ი
გარეგნული	გა რეგნულ ი
ლომოურის	ლო მო ურ ის
სოლიდური	სოლიდ ური
დააყენა	და აყენ ა
მორგოთის	მო რგოთ ის
თამაში	თამაშ ი
ინდექსის	ინდექს ის
წარუმატებლობის	წარუმატებლობ ის
ჩამოსატვირთი	ჩამო სა ტვირთ ი
ფოლკნერის	ფოლკნერ ის
წავიდაო	წავიდ ა ო
დასაკავებლად	და სა კავ ებლად
გამომსახველი	გა მო მსახველ ი
ვლაპარაკობდით	ვლაპარაკ ობდით
დაბრუნებულს	და ბრუნებულ ს
იურისტი	იურისტ ი
პანიკაში	პანიკ აში
სპეციალისტად	სპეციალისტ ად
გამოცხადებულია	გამო ცხად ებულ ია
მოწმე	მოწმ ე
შებინდებისას	შე ბინდ ების ას
თავდაცვისა	თავდაცვ ისა
ლემპარდის	ლემპარდ ის
პარკოსანთა	პარკოსან თა
რუსულმა	რუსულ მა
ნაცისტურმა	ნაცისტ ურ მა
ლანძღავენ	ლანძღ ა ვენ
უმბერტო	უ მბერტ ო
სააპელაციო	სა აპელ აცი ო
ოქროთი	ოქრ ოთ ი
გადაღებულმა	გადაღებ ულმა
გაერთიანებებს	გა ერთიანებ ებს
მეტამორფოზის	მე ტამორფოზ ის
მეურნეობაზე	მეურნეობ ა ზე
ლურჯა	ლურჯ ა
რეიმსის	რეიმ ს ის
სახითაა	სახ ით ა ა
პარტიის	პარტი ის
ბარათად	ბარათ ად
ქვეყნებიც	ქვეყნ ები ც
ძუძუმწოვარი	ძუძუმ წოვარ ი
ჭრილში	ჭრილ ში
უთანხმოებამ	უთანხმო ება მ
წვრილი	წვრილ ი
იაპონური	იაპონურ ი
ჯანმრთელი	ჯანმრთელ ი
გალილეომ	გა ლილე ომ
მოგადიშოს	მო გადიშ ო ს
მონოპოლიური	მო ნოპოლი ური
ფსკერიდან	ფსკერ იდან
თხელ	თხელ
წამოწყება	წამოწყ ება
დანახვაც	და ნახვ აც
გადაადგილებული	გადაადგილ ებულ ი
თვითმკვლელობამდე	თვითმკვლელობ ა მდე
გაიცნეს	გა იცნ ეს
სიგნალს	სიგნალ ს
დარწმუნდა	და რწმუნ და
რუნა	რუნ ა
ნიგერია	ნიგერი ა
უკეთუ	უკეთ უ
აზერბაიჯანსა	აზერბაიჯან ს ა
სკოლას	სკოლ ა ს
დეპრესიის	დეპრეს ი ის
ღრმავდება	ღრმავ დებ ა
კანიონები	კანიონ ები
კოლექტივში	კოლექტივ ში
შეჩერებულ	შეჩერ ებულ
განმარტოვდა	განმარტ ოვ და
მარადიულ	მარადი ულ
სანთელს	სანთ ელს
სჯული	სჯულ ი
კოალიცია	კოალიცი ა
კერესელიძე	კერესელიძე
მანქანათსაშენი	მანქანათ საშენ ი
სერვისები	სერვის ები
ადგენდა	ადგენ და
პარალელის	პარალელ ის
აკუსტიკა	აკუსტიკ ა
წმიდა	წმიდ ა
მათე	მათ ე
ემიგრანტები	ემიგრანტ ები
სანახევროდ	სა ნახევრ ოდ
კარიბის	კარიბ ის
სწორკუთხაა	სწორკუთხ ა ა
ფრინველებს	ფრინველ ებს
მოადგა	მო ადგ ა
ლოს	ლ ო ს
ამთავრებდა	ამთავრ ებ და
ვირუსის	ვირუს ის
პოტოსის	პოტ ოს ის
ქილაში	ქილ აში
ძაბვის	ძაბვ ის
ბრწყინვალემ	ბრწყინვალ ემ
სამთავნელი	სა მ თავნ ელი
შემოგარენის	შე მო გარენ ის
შებოლილი	შე ბოლ ილი
სეხნია	სეხნ ი ა
საზღვრისპირა	საზღვრ ისპირა
ლიდერებს	ლიდერ ებს
უიტნიმ	უიტნ ი მ
ზამთრითა	ზამთრ ით ა
მალევე	მა ლევ ე
საგაში	სა გ ა ში
ყაჩაღი	ყაჩაღ ი
ამბავია	ამბავ ია
გამოცემები	გამო ცემ ები
იმპერატრიცა	იმპერატრიც ა
სხვადასხვანაირი	სხვადა სხვანაირ ი
ფსიქოლოგიურ	ფსიქოლოგი ურ
თესლით	თესლ ით
კანბერის	კანბერ ის
გოგიტიძე	გოგიტ იძე
განალაგეს	განალაგ ეს
მეამბოხე	მე ამბოხე
ფერარი	ფერარ ი
შემომავალი	შე მომავალ ი
ჩეხებმა	ჩეხ ებ მა
ოლდფილდის	ოლდფილდ ის
შემცველობის	შე მცველ ობ ის
შეწყვეტილი	შე წყვეტილ ი
მორფემები	მორფემ ები
უარყოფილი	უარყოფ ილი
ქამარი	ქამარ ი
ბელტის	ბელტ ის
ნახევარკუნძულის	ნა ხევარ კუნძულ ის
კომიტეტში	კომიტეტ ში
გარეგან	გარეგან
აპატია	აპატი ა
ბებიას	ბები ას
