იტალიასთან	იტალი ასთან
ეკრძალებათ	ეკრძალ ებათ
ღორი	ღორ ი
წევრის	წევრ ის
ვიშნუს	ვიშ ნუს
დეკორაციები	დეკორაცი ები
ინახავს	ინახავ ს
ინგლისური	ინგლის ური
ქვეოჯახის	ქვე ოჯახ ის
ცხრილი	ცხრილ ი
სართულით	სართულ ით
ახლობელ	ახლობელ
ჰაროლდ	ჰარ ოლდ
ტბასა	ტბ ასა
არქიტექტორთა	არქიტექტორ თა
აღთქმისა	აღთქმ ისა
სულეიმან	სულეიმან
ხალიფად	ხალიფ ად
ბაჯოს	ბაჯო ს
ევროპიდან	ევროპ იდან
სარწმუნოებრივ	სარწმუნ ოებრივ
მლოცველი	მლოცვ ელი
ლიბრეტო	ლიბრეტო
წინააღმდეგობას	წინააღმდეგობ ას
სახესხვაობას	სახესხვაობა ს
ტაჯიკეთის	ტაჯიკ ეთის
თავსაბურავის	თავსაბურავი ს
გადმოლახეს	გადმო ლახეს
სააღდგომო	სა აღდგომ ო
ჰპირდება	ჰპირ დება
სიმპტომებს	სიმპტომ ებს
მიანიჭა	მიანიჭ ა
ინსტიტუტი	ინსტიტუტ ი
ქრისტიანების	ქრისტიან ების
სახარებაში	სახარ ებაში
გამოთქმის	გამოთქმ ის
ძელზე	ძელ ზე
ტრანსფერების	ტრანსფერ ების
ჯიშმა	ჯიშ მა
თხუთმეტ	თხუთმეტ
ამახვილებდა	ამახვილ ებდა
წვერს	წვერ ს
ფუნტი	ფუნ ტი
მხრებით	მხრ ებით
ამიტომაც	ამიტომ აც
მარცვლოვანთა	მარცვლ ოვანთა
ფირფიტა	ფირფიტ ა
ადგილებია	ადგილ ებია
შესრულდა	შესრულ და
მონგრეულია	მონ გრე ულია
ამოძრავებს	ა მოძრავ ებს
მიკროფონი	მიკრო ფონი
უშლის	უშლი ს
ვენახები	ვენახ ები
მომენტიდან	მომენტ იდან
მონადირეების	მონადირე ების
ზაფხულს	ზაფხულ ს
თრაკიული	თრაკ იული
ევროპელების	ევროპ ელების
შეერია	შეერი ა
კოლონისტთა	კოლონისტ თა
ცის	ც ის
ნაზავი	ნაზ ავი
ჩონჩხები	ჩონჩხ ები
გენის	გენ ის
გასაუბრება	გა საუბრ ება
სმითს	სმით ს
გლობუსისა	გლობ უსისა
საერთოდაც	საერთო დაც
მართავდნენ	მართ ავდნენ
მეჩხრად	მე ჩხრად
აბჯარი	აბჯ არი
იდეების	იდე ების
მაღლაა	მაღლ აა
ამომავალი	ა მომავალ ი
მძევლად	მძევ ლად
დამთავრების	დამთავრ ების
გადარჩა	გადარჩ ა
სამსჯავროზე	სამსჯავრო ზე
სიზუსტითა	სიზუსტ ითა
აკლდამა	აკლდამ ა
კასტილიის	კასტილი ის
კალიფორნიაში	კალიფორნ იაში
მოწამვლის	მოწამ ვლის
იარის	ია რის
კლუბთან	კლუბ თან
ტრავმების	ტრავმ ების
ტრიესტში	ტრი ესტში
ფლობდნენ	ფლ ობდნენ
კარზე	კარ ზე
შესასვლელები	შესასვლე ლები
ხარისხები	ხარისხ ები
პერსი	პერს ი
შალიკაშვილი	შალიკა შვილი
წლებისთვის	წლ ებისთვის
ბასკეთის	ბასკ ეთის
მურადმა	მურად მა
მელა	მელ ა
დაასაბუთა	და ასაბუთ ა
პალეოგეოგრაფიის	პალეო გეოგრაფი ის
ოთახში	ოთახ ში
განმათავისუფლებელ	განმათავისუფლებ ელ
მარშალმა	მარშ ალმა
სიკვდილის	სიკვდილ ის
ქირურგთა	ქირურგ თა
ბეჭდის	ბეჭდ ის
ადამიანებისგან	ადამიან ებისგან
თათრების	თათრ ების
ხმელეთს	ხმელეთ ს
მოედანზე	მოედან ზე
კონცეფციის	კონცეფცი ის
მწარმოებლების	მ წარმოებ ლების
ბულეტსი	ბულეტს ი
მადრიდ	მადრი დ
ეწოდებოდათ	ეწოდ ებოდათ
ეუფლებოდა	ეუფლ ებოდა
მოლასური	მო ლასური
ინსპექციის	ინსპექ ციის
სოფლელი	სოფლ ელი
ხიდი	ხიდ ი
შემოგარენის	შემოგარ ენის
მადის	მა დის
განთქმულია	განთქმ ულია
აეროპორტში	აეროპორტ ში
თანამიმდევრული	თანამიმდევრ ული
მაზნიაშვილი	მაზ ნიაშვილი
შეეტანათ	შე ეტანათ
მოვიდნენ	მოვიდ ნენ
ოსტატობითა	ოსტატ ობითა
ხუციშვილი	ხუც იშვილი
ხელისუფლებისთვის	ხელისუფლებ ისთვის
გამოკეტა	გამოკეტ ა
ისჯება	ისჯ ება
უძლური	უძლურ ი
ხელოსნობა	ხელოსნობ ა
მოთამაშეთა	მოთამაშ ეთა
უწყობს	უწყ ობს
კოპოლას	კო პოლას
ჯემს	ჯე მს
ბოტაფოგოს	ბოტ აფოგოს
დაყენება	დაყენებ ა
აზნაური	აზნაურ ი
განრისხებული	განრისხ ებული
ქცეულა	ქცეულ ა
მედალზე	მედალ ზე
სინათლით	სინათლ ით
ფაბრიკები	ფაბრიკ ები
სუვენირები	სუვენირ ები
საშუალებად	საშუალებ ად
ოზილმა	ოზი ლმა
გადაკეთებული	გადაკეთ ებული
ზეახლის	ზე ახლის
მორბენალი	მორ ბენალი
მენინგი	მენინგ ი
კოლინზის	კოლინ ზის
ფუძეების	ფუძე ების
მჭრელი	მ ჭრელი
იმალებოდნენ	იმალ ებოდნენ
მიეკუთვნებოდნენ	მიეკუთვნ ებოდნენ
სრებრენიცის	სრე ბრენ იცის
ორის	ორ ის
სამართლიანია	სამართლ იანია
ცოცხალი	ცოცხ ალი
გამარჯვებით	გამარჯვებ ით
ტოტო	ტოტ ო
ევალებათ	ევალებ ათ
გუნდებიდან	გუნდ ებიდან
მელანეზიური	მელან ეზიური
ჩამოვარდნილი	ჩამოვარდ ნილი
მალაქია	მა ლაქ ია
ჰესთერი	ჰეს თერი
კომპანიად	კომპანი ად
გაჰყავს	გაჰყავ ს
საუკუნო	საუკუნ ო
ობსერვატორიის	ობსერვატორ იის
ფეხებით	ფეხ ებით
მოკლემეტრაჟიანი	მოკლემეტრაჟი ანი
ურუგვაიმ	ურუგვა იმ
სადაც	სად აც
ნათესავს	ნათეს ავს
განმტკიცებას	განმტკიც ებას
ათასწლეულის	ათასწლეუ ლის
გრიპის	გრიპ ის
შესაძლებელ	შესაძლებ ელ
ნგრევას	ნგრევ ას
დეპორტაცია	დეპორტ აცია
წერტილს	წერტილ ს
დღეებს	დღე ებს
კენია	კენ ია
ამაში	ამ აში
ქულიანი	ქულ იანი
ლიგას	ლიგ ას
სიგელში	სიგელ ში
ალბანელთა	ალბანელ თა
საცავს	საცავ ს
მეთოდზე	მეთოდ ზე
გამოკვეთილია	გამოკვეთ ილია
საზღაურს	საზღაუ რს
მონებად	მონ ებად
დათანხმებულიყო	დათანხმ ებულიყო
ნიკოლას	ნიკოლ ას
ველში	ველ ში
ლავრენტის	ლავრენტ ის
დათვალიერება	და თვალიერებ ა
სამინისტროში	სამინისტრო ში
მოთავსებულია	მოთავს ებულია
საფრთხეს	საფრთხ ეს
გადიან	გა დიან
წყალმა	წყალ მა
პირველყოფილი	პირველ ყოფილი
საქალაქთაშორისო	საქალაქ თაშორისო
მოტივებს	მოტივ ებს
სხირტლაძე	სხირტ ლაძე
ავსტრალიაში	ავსტრა ლიაში
შეთქმულების	შეთქმულ ების
მოზაიკაში	მოზა იკაში
სიღრმეზეა	სიღრმე ზეა
ანტილის	ანტი ლის
ნებას	ნ ებას
გადადგომა	გადადგომ ა
გურიელის	გურიელ ის
რომაელებისთვის	რომაელ ებისთვის
ატოლი	ატოლ ი
ნადირის	ნადირ ის
გავითვალისწინოთ	გავი თვალისწინ ოთ
ნბა	ნ ბა
ზელანდიას	ზელანდი ას
ლაციო	ლაციო
შეკითხვა	შე კითხვ ა
უნარმა	უნარ მა
იცოდე	იცოდ ე
აბაშის	აბაში ს
იდება	ი დება
აპირებ	აპირ ებ
ემოსა	ე მოსა
იკრძალებოდა	იკრძალ ებოდა
შეიტყუა	შეიტყ უა
საგულისხმოა	სა გულისხმ ოა
ინგლისიდან	ინგლის იდან
ნოველათა	ნოველ ათა
წარმომადგენლობით	წარმომადგენლ ობით
სავაჭრო	სავაჭრ ო
მდგრადი	მდგრად ი
ურბანიზაციის	ურბან იზაციის
გარდაიქმნა	გარდაიქმნ ა
ჩეხეთი	ჩეხ ეთი
ორნამენტული	ორნამენტ ული
საზოგადოებისაგან	საზოგადო ებისაგან
სკოტს	სკოტ ს
სხდომა	სხდომ ა
ბიზანტიის	ბიზანტი ის
სასწავლებელს	სასწავლ ებელს
ავთო	ავთ ო
მართებული	მართ ებული
ინდოელი	ინდოელ ი
სასკე	სასკ ე
მწარმოებლებს	მწარმო ებლებს
გაშლილ	გაშლ ილ
არსით	არს ით
მხევალი	მხე ვალი
ფორმირება	ფორმირ ება
შობის	შობ ის
გარდაიქმნას	გარდაიქმნ ას
ჯვაროსნებთან	ჯვაროსნ ებთან
პლეიოფში	პლე იოფში
გაიარეს	გაი არეს
კაპაკი	კაპ აკი
გადაყენების	გადაყენებ ის
კვამლი	კ ვამლი
რეალში	რეალ ში
ენტონიმ	ენტონი მ
გოლუმს	გოლ უმს
ოპერების	ოპერ ების
სიმბოლოთა	სიმბოლო თა
გადათარგმნა	გადა თარგმნ ა
აქტივები	აქტივ ები
საიმპერიო	სა იმპერი ო
პლეისტოცენში	პლეისტოცენ ში
სამხრეთისაზე	სამხრეთისა ზე
შემოტანილი	შემოტან ილი
დადგენა	დადგენ ა
კარისა	კარ ისა
დერეფნებში	დერეფ ნებში
ოპტიმისტური	ოპტიმ ისტური
ფელიქს	ფელი ქს
გავლით	გავლ ით
თეორეტიკოსი	თეორეტიკოს ი
წარმომადგენლებისგან	წარმომადგენლ ებისგან
ერაყის	ერაყ ის
მხატვარს	მხატვარ ს
ტაჯიკეთში	ტაჯიკ ეთში
მეტოქეებს	მეტოქე ებს
ურთიერთობაა	ურთიერთობ აა
საკურთხევლის	საკურთხე ვლის
გააკრიტიკა	გაა კრიტიკ ა
გამოთვლების	გამოთვლ ების
ხალხთა	ხალხ თა
ერიხ	ე რიხ
პირამიდიდან	პირამიდ იდან
ამოღებას	ამოღებ ას
კარტი	კარ ტი
ავსტრალიასთან	ავსტრა ლიასთან
ყაზბეგი	ყაზბეგ ი
დაუმუშავებელი	დაუ მუშავებელი
დაცემამდე	დაცემ ამდე
დეტალი	დეტალ ი
ეგვიპტემ	ეგვიპტ ემ
გამოძახებული	გამოძახ ებული
ლუიმ	ლუ იმ
მარსის	მარს ის
საშუალოდ	საშუალ ოდ
მზისიერი	მზ ისიერი
ტორპედო	ტორპედო
კულისებში	კუ ლისებში
კონტექსტი	კონტექსტ ი
მცხოვრებ	მცხოვრებ
მატიანეებში	მატიანე ებში
ჰამლეტის	ჰამლეტ ის
ჰოლანდიელი	ჰოლანდი ელი
ინდონეზიას	ინდონეზი ას
გამოარჩია	გამო არჩია
შენახული	შენახ ული
წაგება	წაგ ება
შეჭრილი	შეჭრ ილი
მწირ	მწირ
სამტრედიის	სამტრედი ის
დამონტაჟებულია	დამონტაჟ ებულია
დაუპირისპირდნენ	დაუ პირისპირ დნენ
ეთნოგენეზი	ეთნოგენეზი
ჩამოაყალიბა	ჩამოა ყალიბა
მოეგვარებინა	მოე გვარებინა
ლეგოს	ლეგ ოს
დაეტოვებინათ	დაეტოვ ებინათ
ოპერა	ოპერ ა
გრინვუდს	გრინვუდ ს
კარით	კარ ით
მოხვდებოდა	მოხვდ ებოდა
აპარატში	აპარა ტში
ლაზარე	ლაზარ ე
დაზარალდა	დაზარალ და
მუსტაფა	მუსტა ფა
კუნენეს	კუ ნენეს
რადიოსადგურების	რადიოსადგურ ების
თბილისშია	თბილის შია
იზოლირებული	იზოლ ირებული
მისიონერების	მისიონერ ების
მოვიდე	მოვიდ ე
მტკიცებები	მტკიც ებები
არგონავტები	არგონავტ ები
ბრძოლა	ბრძოლ ა
აღადგენენ	აღ ადგენ ენ
ქვეყანამ	ქვეყან ამ
ობოლი	ობოლ ი
ედგათ	ედ გათ
მოხეტიალე	მო ხეტია ლე
მოიკლეს	მოი კლეს
მეომრები	მეომრებ ი
მარას	მარ ას
ღირშესანიშნაობად	ღირ შესანიშნაობად
ფერისა	ფერ ისა
რეჟ	რე ჟ
ეპისკოპოსში	ეპისკოპოს ში
მილოშ	მილ ოშ
ცვლის	ცვლ ის
რქის	რქ ის
სპურსი	სპურს ი
ამზადებდა	ამზად ებდა
სამსახურზე	სამსახურ ზე
შინაურ	შინაურ
რესტორანი	რესტორ ანი
მიაქვს	მი აქვს
მატნის	მატ ნის
ნორმებით	ნორმ ებით
ჰენრი	ჰენრი
ტელეფონზე	ტელეფონ ზე
იხდიან	იხდი ან
დაარსებამდე	დაარსებ ამდე
რქოვანი	რქ ოვანი
სამთავისის	სამ თავისის
ადერკის	ადერკ ის
დახრილია	დახრ ილია
ასეთ	ასეთ
თევზსაჭერი	თევზ საჭერი
ხელმძღვანელობდა	ხ ელმძღვანელ ობდა
განცხადების	განცხად ების
მეკობრეებმა	მეკობრე ებმა
ევოლუცია	ევოლუცი ა
ნაშთების	ნაშთები ს
მილიონერი	მილიონ ერი
ავტომატიზებული	ავტომატ იზებული
მოხელეთა	მოხელე თა
მძაფრად	მძაფრ ად
ექვთიმე	ექვთიმე
ოფში	ოფ ში
ეჭვიანობის	ეჭვიან ობის
მოლაპარაკებები	მოლაპარაკ ებები
მიძღვნილი	მიძღვნი ლი
სცენარებს	სცენარ ებს
რეფორმა	რეფორმ ა
ტყავისგან	ტყავ ისგან
ბორტებზე	ბორ ტებზე
რჩევით	რჩევ ით
სიცრუე	სიც რუე
პრემიერლიგის	პრემიერლიგ ის
ეროვნების	ეროვნ ების
ცილინდრს	ცილინდრ ს
მეორეული	მეორე ული
ფიგურამ	ფიგურ ამ
იმედოვნებდნენ	იმედოვნებ დნენ
მონსტრები	მონსტრ ები
დიდისა	დიდ ისა
ფიქლით	ფიქლ ით
მაროკოსა	მაროკო სა
დაცულ	დაცულ
ნალედის	ნა ლ ედის
დაზარალებულის	დაზარალ ებულის
რეჟიმისა	რეჟიმ ისა
პაექრობაში	პაექრობ აში
აღიწერა	აღიწერ ა
ფლოტით	ფლოტ ით
ურთიერთობათა	ურთიერთობ ათა
ჩაარტყა	ჩა არტყა
ააგო	ა აგო
ბოუმენი	ბოუ მენი
ღეროზე	ღერო ზე
ადამიანიც	ადამიან იც
ჯავშანი	ჯავშან ი
ინტელექტით	ინტელექტი თ
საპროექტო	სა პროექტ ო
უზენაეს	უზენაეს
ნაკრძალი	ნაკრძალ ი
კომიქსი	კომიქს ი
მამამისს	მამამის ს
დამალულია	დამალ ულია
საგანზე	საგან ზე
ფირფიტას	ფირფიტ ას
იურიდიულად	იურიდი ულად
აღჭურვილობას	აღჭურვი ლობას
მოთხოვნილებებს	მოთხოვნ ილებებს
მოსაგერიებლად	მოსა გერიებლად
დაფუძნებაში	დაფუძნებ აში
გამოკითხვა	გამოკითხ ვა
იტევს	იტევ ს
ოპერაციის	ოპერაც იის
ჭიქაში	ჭიქ აში
თევზაობის	თევზა ობის
ბედნიერება	ბედნიერება
რომანებს	რომან ებს
გადაიბარა	გადაი ბარა
ფუძე	ფუძე
წინაპრები	წინაპრ ები
სმითმა	სმით მა
შენებას	შენ ებას
საეტაპო	სა ეტაპ ო
სისხლისღვრა	სისხლისღვ რა
ფოლკლორული	ფოლკლორ ული
გაიწელა	გაი წელ ა
საძიებლად	საძი ებლად
ზურაბი	ზურა ბი
შეეცადა	შეეცად ა
პერიოდიზაციის	პერიოდ იზაციის
პროგრამირება	პროგრამ ირება
სერიალს	სერიალ ს
გაგზავნეს	გაგზავნ ეს
რევოლუციონერებს	რევოლუცი ონერებს
მრევლი	მრევლ ი
ნაპრალებში	ნაპრა ლებში
ძმებს	ძმ ებს
ფრიდა	ფრიდ ა
მოაგებინა	მოა გებინა
ადგება	ა დგება
ანთიმოზ	ანთიმო ზ
გაგამ	გა გამ
მასპინძლებმა	მასპინძ ლებმა
სელის	ს ელის
მეტყველი	მეტყველ ი
მეხუთედი	მეხუთე დი
მიიჩნია	მიიჩნი ა
მირ	მი რ
წარმომადგენლების	წარმომადგენლ ების
გამახსენდება	გამ ახსენ დება
პროდუქტია	პროდუქტ ია
სიძნელეები	სიძნელ ეები
ჯანყი	ჯან ყი
თანახმა	თანახმა
რეზერვები	რეზერვ ები
ტოპონიმია	ტოპონი მია
მოწამეობრივად	მოწამეობრივ ად
უსვამს	უსვამ ს
დარიალის	დარი ალის
სასწაულები	სასწაულ ები
გაჩნდეს	გაჩნდ ეს
რამდენჯერ	რამდენ ჯერ
შემოთავაზებაზე	შემოთავაზ ებაზე
შერჩევითი	შერჩევ ითი
დუმბაძე	დუმბა ძე
თვისებები	თვისებ ები
აღნიშნულისა	აღნიშნულ ისა
მოუპოვებია	მოუპოვ ებია
ეგზოპლანეტის	ეგზოპლანეტ ის
მონაკვეთის	მონაკვეთ ის
მოქმედებისთვის	მოქმედებ ისთვის
ენთუზიაზმით	ენთუზიაზ მით
შეწყდეს	შეწყ დეს
გამაგრება	გამაგრ ება
ხელსაწყოს	ხელსაწყო ს
დალეკები	დალეკ ები
არიდებს	არიდ ებს
გვიანის	გვიან ის
თარგმანები	თარგმან ები
მეოთხედფინალამდე	მეოთხედფინალ ამდე
ავტორიტეტს	ავტორ იტეტს
კოდში	კოდ ში
ბრაუზერი	ბრაუზ ერი
შოუში	შოუ ში
ცირკულაცია	ცირკულა ცია
არაგვისა	არაგვი სა
გლუკოზის	გ ლუკ ოზის
არიანეს	არიან ეს
მოახდინა	მოახდინ ა
ალუვიური	ალუვი ური
გაუწია	გაუწი ა
გადაღება	გადაღებ ა
ტატუირების	ტატუ ირების
უძრავ	უძრავ
ჩააბარეს	ჩააბარ ეს
გარს	გარს
უმეტესობაზე	უმეტესობა ზე
მოწყობილი	მოწყობ ილი
მრავალსართულიანი	მრავალ სართულ იანი
გამოწყობილი	გა მოწყობ ილი
მეფისნაცვლის	მეფისნაც ვლის
დაარსებიდან	დაარსებ იდან
თარიღდება	თარიღ დება
დანერგა	დანერგ ა
ვიკა	ვიკ ა
თემმა	თემ მა
ლათ	ლ ათ
ერთიანდებოდა	ერთიან დებოდა
გუდანის	გუდ ანის
მოწყობით	მოწყობ ით
ნიკოლოზს	ნიკოლ ოზს
რკინის	რკინ ის
ეკონომიის	ეკონომი ის
ხილვით	ხილვ ით
შეხედულებებს	შეხედ ულებებს
სკულპტურულ	სკულპტუ რულ
სასწაულებრივად	სასწაულებრივ ად
ჩალუკიას	ჩა ლუ კიას
საროს	სა როს
სუმატრის	სუმა ტრი ს
თავდასხმებისაგან	თავდასხმ ებისაგან
საქართველოშია	საქართველო შია
კასეტაზე	კასეტა ზე
კოლუმბამდელი	კოლუმბ ამდელი
ეთამაშათ	ეთამაშ ათ
რიჩმონდში	რიჩ მონდში
სახურავების	სახურავ ების
ფანის	ფან ის
როლებით	როლ ებით
შოულობს	შოუ ლობს
მოსი	მო სი
ხალხის	ხალხ ის
გაითქვა	გაი თქვა
ემშვიდობება	ე მშვიდობ ება
თოვს	თოვ ს
მეზღვაურებს	მეზღვაურ ებს
ეგვიპტელთა	ეგვიპტ ელთა
დაფუძნებული	დაფუძნებ ული
ერედვის	ერ ედვის
ბედს	ბედ ს
რომი	რომ ი
დაინტერესდნენ	და ინტერეს დნენ
მიმდინარეობს	მიმდინარეო ბს
გაყინვის	გაყინ ვის
ელიზაბეტის	ელიზაბ ეტის
საგანს	საგან ს
მეჩეთში	მეჩეთ ში
რიფები	რიფ ები
გაიბრწყინა	გაი ბრწყინა
წარმოთქმის	წარმოთქმ ის
ფსევდონიმს	ფსევდონიმ ს
გართულებების	გართულებ ების
სქესი	სქეს ი
გვაწვდის	გვაწვ დის
მიტოქონდრიული	მი ტოქონდრიული
მარიონეტი	მარიონე ტი
მელიქი	მელიქი
დამოუკიდებელმა	დამოუკიდებე ლმა
ხვრელით	ხვრელ ით
ლილვების	ლილვ ების
ყარსის	ყარსი ს
სასწავლო	სასწავლ ო
გასამყარებლად	გა სამყარ ებლად
შესავალში	შესავალ ში
საბოლოდ	საბოლო დ
გრანიკოსის	გრან იკოსის
ბრიტანეთსა	ბრიტან ეთსა
აბორიგენული	აბორიგენ ული
კამარის	კამარ ის
ადასტურებდა	ადასტურ ებდა
ექსპერტებმა	ექსპერტ ებმა
ფიქსირდებოდა	ფიქსირ დებოდა
აჩრდილი	აჩრდილ ი
ნახევრით	ნახევრ ით
შუმერის	შუმე რის
განსაზღვრული	განსაზღვრ ული
საზღვარი	საზღვარ ი
ბუნდოვანი	ბუნდოვანი
თურქულენოვან	თურქულენ ოვან
მთავრობიდან	მთავრობ იდან
ამოხსნის	ამოხსნ ის
ექსპერიმენტს	ექსპერიმ ენტს
მშენებელი	მშენებელ ი
ჰომეროსთან	ჰომეროს თან
გამოხატვას	გამოხატ ვას
იუდეველები	იუდევ ელები
პიერი	პ იერი
საფლავს	საფლავ ს
ლაზური	ლაზ ური
ალმანახ	ალმანახ
კვდება	კვდ ება
ფილადელფიაში	ფილადელფი აში
მამაკაცებში	მამაკაც ებში
მცირეწლოვანი	მცირეწლოვან ი
მოქალაქეებს	მოქალაქეებ ს
წარმოქმნილი	წარმოქმნ ილი
კომპოზიციაში	კომპოზიცი აში
სვეტის	სვეტ ის
სიკვდილისა	სიკვდილ ისა
კასტრომ	კასტ რომ
მსვლელობაში	მსვლე ლობაში
ლოიალური	ლოი ალური
მღვდელმთავრად	მღვდელ მთავრად
სერბი	სერბ ი
ერთსქესიანი	ერთ სქესიანი
ადმინისტრირების	ადმინისტრ ირების
აურაცხელი	აუ რაცხ ელი
ორგანიზაციის	ორგანიზაცი ის
შეერთო	შეერთ ო
გლობალური	გლობ ალური
მორენები	მორენ ები
მსახურის	მსახურ ის
აგრეთვე	აგრე თვე
გაქრისტიანების	გა ქრისტიან ების
გამართლდა	გამართლ და
დასახელებული	დასახელებ ული
ტომად	ტომ ად
შეთანხმების	შეთანხმ ების
ჰეროდოტე	ჰეროდოტ ე
დაუდგენელია	დაუ დგენელია
ჟანრში	ჟანრ ში
გადახდას	გადახდ ას
ერთან	ერთ ან
ნაშრომზე	ნაშრომ ზე
ხსნარზე	ხსნარ ზე
კომპლექსურ	კომპლექს ურ
ნახევარწრიული	ნახევარწრი ული
სლოვენიური	სლოვენი ური
შემოდგომაზე	შემოდგომ აზე
გაუპატიურება	გაუპატიურე ბა
ექსტერიერის	ექსტერი ერის
ფიგურები	ფიგურ ები
მწერის	მწერ ის
სისუსტის	სისუსტ ის
პუნქტებში	პუნქტ ებში
ნაწარმოებზე	ნაწარმოებ ზე
გააერთიანეს	გააერთიან ეს
გაგიჟებულია	გაგიჟ ებულია
ესპანიოლი	ესპან იოლი
ირგვლივი	ირგვლივ ი
იღვიძებს	იღვიძ ებს
დასაშვები	დასაშვებ ი
დაიწყებოდა	დაიწყ ებოდა
ავადმყოფობამ	ავადმყოფ ობამ
ეძებენ	ეძ ებენ
მოდელები	მოდელ ები
ჭერის	ჭერ ის
მეთოდურ	მეთოდ ურ
შვედების	შვედ ების
ტრაპეზზე	ტრაპეზ ზე
სინთეზით	სინთეზ ით
შტაბს	შტაბ ს
მეთაურობით	მეთაურ ობით
ურუქში	ურუქ ში
მოთხრობებს	მო თხრობ ებს
გაყიდულია	გაყიდ ულია
არარეიტინგული	არა რეიტინგ ული
თაღლითობის	თაღლით ობის
საკის	ს აკის
წარსადგენად	წარ სადგენად
მოხელეს	მოხელე ს
ასიმილაციის	ასიმილაცი ის
წარმონაქმნად	წარმონაქმნ ად
სიტყვასთან	სიტყვ ასთან
აუგუსტო	აუგუსტ ო
პროექტით	პროექტ ით
თარჯიმნად	თარჯ იმნად
გაიგონა	გაი გონა
ნემსები	ნემს ები
ჯოს	ჯო ს
სექციებში	სექცი ებში
მცენარეებისა	მცენარე ებისა
კერესელიძემ	კერესელიძე მ
შეავსეს	შეავს ეს
როჯერ	როჯერ
საუკუნეებით	საუკუნე ებით
ნიღაბს	ნიღაბ ს
ჰამილკარ	ჰამილ კარ
რომაელების	რომაელ ების
სამაგიერო	სამაგი ერო
მხარდაჭერას	მხარდაჭ ერას
თავიანთი	თავიან თი
კომპენსაციის	კომპენს აციის
სერიები	სერი ები
ფორმალურ	ფორმ ალურ
მხატვრების	მხატვრ ების
გააგზავნა	გააგზავნ ა
პერსევსი	პერს ევსი
ღმერთებს	ღმერთ ებს
რეწვა	რეწვ ა
ცხენებით	ცხენ ებით
ჰეროდოტეს	ჰეროდოტ ეს
ნასესხებ	ნასესხ ებ
დიდგორის	დიდგორ ის
ფართე	ფართ ე
გათხრებს	გათხ რებს
მომწამვლელი	მომწ ამვლ ელი
მღვდელმთავარმა	მღვდელმ თავარმა
ვარდან	ვარდ ან
ხელსაყრელია	ხელსაყრელ ია
ფერდობებს	ფერდობ ებს
გამოცდილებით	გამოცდილ ებით
ტერიტორიულ	ტერიტორი ულ
მაქს	მა ქს
გააცნეს	გააც ნეს
კონკურსები	კონკურს ები
რიტუალებსა	რიტუალ ებსა
ფარმაკოლოგიური	ფარ მაკოლოგიური
ვისკის	ვი სკის
რაინდები	რაინდ ები
უღარიბესი	უღარიბეს ი
წიგნებია	წიგნ ებია
ტუტე	ტუტ ე
ფეხბურთელი	ფეხბურთ ელი
შუალედური	შუალე დური
ბაიაზიდ	ბაიაზიდ
გეოგრაფის	გეოგრაფი ს
პანამაში	პანამ აში
ვაჟთან	ვაჟ თან
ლავკრაფტის	ლავკრაფ ტის
კომპონენტის	კომპონ ენტის
მიმდევართა	მიმდევარ თა
კეფის	კე ფის
ალასანია	ალა სან ია
დახასიათება	დახასიათ ება
გოგოლის	გოგო ლის
საპატიო	საპატ იო
განსაზღვრებას	განსაზღვრ ებას
ონოს	ონო ს
ნიშების	ნიშ ების
მოღვაწეობა	მოღვაწე ობა
მიემართებოდნენ	მიემართ ებოდნენ
უცბად	უც ბად
ქრისტიანობისა	ქრისტიან ობისა
ინფლაცია	ინფლ აცია
მუსიკოსს	მუსიკოს ს
ფიზიოლოგიაში	ფიზიოლოგი აში
მათგანია	მათგან ია
ასეთია	ასეთ ია
დარგზე	დარგ ზე
მიქელაძე	მიქელ აძე
ძლევამოსილ	ძლევამოს ილ
ჟურნალის	ჟურნალი ს
ნიკარაგუაში	ნიკარაგუ აში
შეუძლოდ	შეუძლ ოდ
მარკაზე	მარკ აზე
ყვავილს	ყვავილ ს
შემოსავალს	შემოსავალ ს
გამოაგდო	გამო აგდო
ვნებანი	ვნებ ანი
იმგვარად	იმგვარ ად
კათოლიციზმი	კათოლიციზმი
უმნიშვნელოვანესი	უ მნიშვნელოვან ესი
ტაშისკარიდან	ტაშის კარ იდან
ჯარისკაცებისთვის	ჯარისკა ცებისთვის
ოსვალდი	ოსვალდ ი
გარშემოც	გარშემო ც
დაკვირვებებით	დაკვირვ ებებით
ნიშნებიც	ნიშნ ებიც
სახვა	სახ ვა
საყაიმო	სა ყაი მო
ფარგლებში	ფარგლებში
ტრადიციების	ტრადიცი ების
კატას	კატ ას
ნაწილისათვის	ნაწილ ისათვის
ბასილ	ბას ილ
მოსთხოვეს	მოსთხოვ ეს
ქაოსი	ქაოს ი
დებთან	დ ებთან
სტადიის	სტადი ის
განმანათლებელი	განმანათლ ებელი
თვისებების	თვისებ ების
რენტგენის	რენტგენ ის
ცერემონიები	ცერემონი ები
კიდის	კიდ ის
ჰომოსექსუალთა	ჰომოსექსუალ თა
ფატიმიდების	ფატ იმიდების
ტარო	ტარ ო
აფრიდუნ	ა ფრიდ უნ
ლენონის	ლენონ ის
იპყრობენ	ი პყრობ ენ
მტრად	მტრ ად
კართაგენის	კართაგენ ის
